City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Kavaratti,IN,10.5669,72.642,83.3,69,100,11.59,overcast clouds
80,Vaini,TO,-21.2,-175.2,82.4,65,20,11.5,few clouds
81,Sioux Lookout,CA,50.1001,-91.917,60.8,33,90,3.44,overcast clouds
82,Georgetown,MY,5.4112,100.3354,82.99,83,20,3.44,few clouds
83,Tahta,EG,26.7693,31.5021,64.4,20,0,4.61,clear sky
84,Santiago Del Estero,AR,-27.7951,-64.2615,77.59,71,100,13.65,overcast clouds
85,Punta Arenas,CL,-53.15,-70.9167,44.6,61,75,13.8,broken clouds
86,Yueyang,CN,29.3333,113.0919,55.89,83,100,1.86,overcast clouds
87,Tessalit,ML,20.1986,1.0114,79.3,10,8,4.07,clear sky
88,Sorland,NO,67.667,12.6934,38.17,95,100,26.62,overcast clouds
89,Bethel,US,41.3712,-73.414,55.4,24,1,5.75,clear sky
90,Dharchula,IN,29.85,80.5333,62.96,50,97,6.13,overcast clouds
91,Anshun,CN,26.25,105.9333,54.39,96,100,4.68,overcast clouds
92,Lorengau,PG,-2.0226,147.2712,82.69,75,98,2.98,overcast clouds
93,Koshurnikovo,RU,54.1667,93.3,29.55,93,99,1.86,overcast clouds
94,Smoky Lake,CA,54.1169,-112.4686,50.0,34,26,6.91,scattered clouds
95,Sinnamary,GF,5.3833,-52.95,77.58,89,100,13.18,overcast clouds
96,Leningradskiy,RU,69.3833,178.4167,1.74,89,99,4.68,overcast clouds
97,La Ronge,CA,55.1001,-105.2842,42.8,39,100,6.91,overcast clouds
98,Sitka,US,57.0531,-135.33,39.2,87,90,11.5,light snow
99,Goderich,CA,43.7501,-81.7165,48.2,71,39,9.22,scattered clouds
100,Carnarvon,AU,-24.8667,113.6333,78.8,61,93,14.97,overcast clouds
101,Gordeyevka,RU,52.9569,31.9703,36.09,71,20,15.21,few clouds
102,Mezhdurechensk,RU,53.6942,88.0603,36.43,85,0,2.95,clear sky
103,Provideniya,RU,64.3833,-173.3,5.0,72,90,22.37,snow
104,Bluff,NZ,-46.6,168.3333,64.0,59,28,10.0,scattered clouds
105,Leshukonskoye,RU,64.8989,45.7622,35.38,92,100,8.72,overcast clouds
106,Esperance,AU,-33.8667,121.9,73.4,56,7,9.22,clear sky
107,Kaeo,NZ,-35.1,173.7833,75.0,68,58,1.01,broken clouds
108,Kapaa,US,22.0752,-159.319,78.8,57,75,18.41,light rain
109,Ambilobe,MG,-13.2,49.05,73.33,94,100,2.46,overcast clouds
110,Pilna,RU,55.5539,45.9219,32.4,91,100,8.68,overcast clouds
111,Tasiilaq,GL,65.6145,-37.6368,15.8,79,20,21.85,light snow
112,Isangel,VU,-19.55,169.2667,84.2,65,40,11.5,scattered clouds
113,Innisfail,AU,-17.5333,146.0333,82.99,63,36,3.0,scattered clouds
114,Konstantinovka,RU,49.6167,127.9833,30.65,47,100,17.09,overcast clouds
115,Moose Factory,CA,51.2585,-80.6094,33.8,75,1,12.66,clear sky
116,Raduzhnyy,RU,62.0961,77.475,33.06,98,100,9.33,overcast clouds
117,Yellowknife,CA,62.456,-114.3525,30.0,93,90,10.36,snow
118,Ugoofaaru,MV,5.6667,73.0,82.98,69,97,9.69,overcast clouds
119,Ostrovnoy,RU,68.0531,39.5131,35.65,86,100,24.96,overcast clouds
120,Poum,NC,-20.2333,164.0167,80.31,66,61,17.31,broken clouds
121,Fairbanks,US,64.8378,-147.7164,10.4,66,90,11.5,overcast clouds
122,Alofi,NU,-19.0595,-169.9187,84.2,74,100,8.05,light rain
123,Port Lincoln,AU,-34.7333,135.8667,67.5,67,82,11.32,broken clouds
124,Ormara,PK,25.2088,64.6357,78.75,82,76,6.31,broken clouds
125,Beringovskiy,RU,63.05,179.3167,8.46,89,100,18.54,light snow
